Date,SMA
2023-09-29,428.78785909016926
2023-10-02,428.5390981038411
2023-10-03,428.01251525878905
2023-10-04,427.6242207845052
2023-10-05,427.072715250651
2023-10-06,426.8837860107422
2023-10-09,426.6844848632812
2023-10-10,426.46795552571615
2023-10-11,426.10204060872394
2023-10-12,425.58978678385415
2023-10-13,425.0287180582682
2023-10-16,424.5879740397135
2023-10-17,424.2097188313802
2023-10-18,423.74046223958334
2023-10-19,423.19273783365884
2023-10-20,422.4530527750651
2023-10-23,421.594775390625
2023-10-24,420.9191558837891
2023-10-25,420.029140218099
2023-10-26,418.8519978841146
2023-10-27,417.78978271484374
2023-10-30,416.878662109375
2023-10-31,416.0822438557943
2023-11-01,415.56299743652346
2023-11-02,415.5425272623698
2023-11-03,415.6812744140625
2023-11-06,415.7937021891276
